Taxonomy	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
M374	32482285.8	68544242.95	39250866.34	17676066.93	22443212.33	21670499.1	173386264.8	30616820.1	76171881.54	236715737.3	47362944.31	52344094.24
M375	3178381.398	904254.6811	6253522.138	2145310.859	3586833.089	3686683.139	4944219.315	5118662.441	3380031.916	5959025.299	8135757.036	3115760.429
M376	546637.4903	877954.8158	516290.2145	497709.5869	571311.4283	523165.5621	581628.8896	672529.3081	511842.5185	680873.1131	751254.2769	483633.0644
M377	3435742.532	3066874.209	3538204.614	1229815.234	1028806.979	3809962.145	3852762.56	3678672.454	3516131.555	3368892.591	3774062.227	3833034.907
M378	44086386.98	210580493.5	138154050.6	89310170.81	249004846.7	165407315.2	281382233.6	119895921	82779208.56	195750401.3	81980330.18	91605343.21
M379	8686592.817	14186605.87	6899236.821	303089.475	289753.2319	298750.4703	16470968.64	15838577.45	7542745.962	23178331.99	1974707.57	23784039.78
M380	23800970.89	13305983.64	16344325.57	11006935.79	10945863.57	18383530.23	15375324.51	20204339.12	17020824.55	17204049.99	13827126.86	22021978.78
M381	7776019.205	111299841.6	33491241.07	62665320.44	135870618.4	65194295	155098805.6	10898194.08	81140744.54	43661302.81	21454166.96	24042678.41
M382	17924922.43	43924.42827	53947412.88	48137687.24	61525026.06	42075341.95	77701680.73	18343844.99	14354270.62	48476303.97	8210590.278	6254219.376
M383	278779030.1	204234357.6	109620814.1	146665413.5	684199839	369852390.3	531147758	139680043	358381340.2	248131425.8	294362853.7	129680862.4
M384	208994861.6	36409016.73	73532458.72	40331661.68	38089153.29	40502284.81	41448658.5	107400092.4	125508609	52603376.17	54766819.79	97041856.48
M385	71070440.94	128417929	166847100	76613302.55	345559008.4	155197328.9	275375217.6	57239535.9	267225758.8	139927879.9	66517209.44	30933296.4
M386	1438160.76	186440.2768	1218919.954	2326576.837	9962870.191	5747834.245	10322171.11	799061.3015	2719139.387	7918065.866	3536293.548	1225965.988
M387	4473559.047	2622317.05	5668761.709	10442532.49	42886493.18	27031011.66	21982035.9	5127872.507	8017616.183	32503552.87	11666807.11	8408757.958
M388	7926606.547	34261.16818	9470585.08	32123505.8	36992586.05	25249176.87	84334356.59	5120410.237	33555330.82	101222170.6	20709993.86	16908644.96
M389	169878.1545	25815.39399	216294.4745	208083.154	236183.1459	140482.9513	1288848.131	85704.87932	1406382.201	2066927.139	776089.4478	122207.9132
